Run,family,state,is_apo,ligand_display,protein_rmsd_mean_A,protein_rmsd_last_half_mean_A,protein_rmsd_final_A,protein_rmsd_slope_A_per_ns,protein_rmsf_mean_A,protein_rmsf_std_A,rg_mean_A,rg_last_half_mean_A,rg_final_A,rg_slope_A_per_ns,ligand_rmsd_mean_A,ligand_rmsd_last_half_mean_A,ligand_rmsd_final_A,ligand_rmsd_slope_A_per_ns,ligand_rmsf_mean_A,unique_contact_residues,interaction_rows,used_framewise,framewise_file_size_mb,has_protein_rmsd,has_protein_rmsf,has_rg,has_ligand_rmsd,has_residue_contacts,has_interaction_types,has_ligand_visual,protein_rmsd_std_A,rg_std_A,ligand_rmsd_std_A,bound_complex_rmsd_mean_A,has_ligand_rmsf,interaction_frame_count,interaction_load_first_half,interaction_load_last_half,interaction_load_ratio_last_over_first
HUMAN_APO,HUMAN,APO,True,APO,2.958852953698926,3.332573594216232,3.184834,0.003043660840211168,1.639486894037736,1.0481403242720473,19.69622210238027,19.586812925853277,19.5330850883153,-0.0008437021665880769,,,,,,0,,False,,True,True,True,False,False,False,False,0.5344009174648043,0.16091271667339285,,,False,,,,
HUMAN_BALO,HUMAN,BALO,False,Balovaptan,2.6903191441935164,3.223245296196152,3.6051655,0.003824801100312887,1.5417992323396223,0.9656883196417874,20.152432421998626,20.13561558749201,20.027562195907347,-0.00021658999854095744,1.4571393114815703,1.4450156053949843,1.4050037,-0.00010960100803047331,,38,,False,66.56241130828857,True,True,True,True,True,True,True,0.5955006541328595,0.1217201955869164,0.14944152795516688,,False,,,,
HUMAN_UMF,HUMAN,UMF,False,UMF-504,3.7118733886356274,3.8091066059237626,3.716029,0.0010629796361333033,1.238456188716981,0.9017390530600563,20.103889211837497,20.101553768462892,20.14527608164955,0.0001383213825713697,1.3835569884520127,1.3838855175232991,1.3125945,-1.9529014173722917e-05,,27,,False,74.41121006011963,True,True,True,True,True,True,True,0.34077024389476623,0.10447925321419346,0.06128899421679131,,False,,,,
