,H-bond,Hydrophobic,Ionic
HUMAN | Balovaptan,6.546434190583343e-05,0.43773730823940865,0.06219722741868552
HUMAN | UMF-504,3.4168453731032444e-05,0.4567611776943995,0.043204653851869446
MOUSE | Balovaptan,1.1659890327071583e-06,0.42708370985062516,0.07291512416034215
MOUSE | UMF-504,0.0001008463247677453,0.44820084554040746,0.051698308134824816
RAT | Balovaptan,7.915091123805744e-06,0.4466591455711899,0.053332939337686285
RAT | UMF-504,8.202714609632268e-05,0.4381238273105852,0.06179414554331848
