Run,Ligand,ApoRun,protein_rmsd_mean_A_apo,protein_rmsd_mean_A_bound,delta_protein_rmsd_mean_A,protein_rmsd_last_half_mean_A_apo,protein_rmsd_last_half_mean_A_bound,delta_protein_rmsd_last_half_mean_A,protein_rmsd_final_A_apo,protein_rmsd_final_A_bound,delta_protein_rmsd_final_A,protein_rmsf_mean_A_apo,protein_rmsf_mean_A_bound,delta_protein_rmsf_mean_A,rg_mean_A_apo,rg_mean_A_bound,delta_rg_mean_A,rg_last_half_mean_A_apo,rg_last_half_mean_A_bound,delta_rg_last_half_mean_A,rg_final_A_apo,rg_final_A_bound,delta_rg_final_A,protein_rmsd_slope_A_per_ns_apo,protein_rmsd_slope_A_per_ns_bound,delta_protein_rmsd_slope_A_per_ns,rg_slope_A_per_ns_apo,rg_slope_A_per_ns_bound,delta_rg_slope_A_per_ns,protein_state_call,species
HUMAN_BALO,Balovaptan,HUMAN_APO,2.958852953698926,2.6903191441935164,-0.2685338095054095,3.332573594216232,3.223245296196152,-0.10932829802007982,3.184834,3.6051655,0.4203315000000001,1.639486894037736,1.5417992323396223,-0.09768766169811371,19.69622210238027,20.152432421998626,0.4562103196183571,19.586812925853277,20.13561558749201,0.5488026616387316,19.5330850883153,20.027562195907347,0.4944771075920471,0.003043660840211168,0.003824801100312887,0.0007811402601017189,-0.0008437021665880769,-0.00021658999854095744,0.0006271121680471194,more expanded; similar global RMSD,HUMAN
HUMAN_UMF,UMF-504,HUMAN_APO,2.958852953698926,3.7118733886356274,0.7530204349367016,3.332573594216232,3.8091066059237626,0.4765330117075308,3.184834,3.716029,0.5311949999999999,1.639486894037736,1.238456188716981,-0.40103070532075513,19.69622210238027,20.103889211837497,0.40766710945722906,19.586812925853277,20.101553768462892,0.5147408426096156,19.5330850883153,20.14527608164955,0.6121909933342486,0.003043660840211168,0.0010629796361333033,-0.0019806812040778646,-0.0008437021665880769,0.0001383213825713697,0.0009820235491594465,more expanded; higher global RMSD; globally less flexible,HUMAN
MOUSE_BALO,Balovaptan,MOUSE_APO,3.7453565038351235,2.6260421939741208,-1.1193143098610028,3.9182639694412225,2.8388192193512256,-1.0794447500899969,3.5791082,2.9260232,-0.6530849999999999,1.3587842231636365,18.354529616,16.995745392836366,20.476214870219994,20.331132064005498,-0.14508280621449643,20.507412946321057,20.319338783487463,-0.18807416283359402,20.327450253060704,20.33370084234545,0.006250589284746866,0.0018910456792086772,0.0017709389837867982,-0.00012010669542187897,5.055501934694484e-06,-0.00019090321952947327,-0.00019595872146416774,similar compactness; lower global RMSD; globally more flexible,MOUSE
MOUSE_UMF,UMF-504,MOUSE_APO,3.7453565038351235,2.838825716756465,-0.9065307870786588,3.9182639694412225,2.9946067336426543,-0.9236572357985682,3.5791082,3.2097318,-0.3693763999999997,1.3587842231636365,1.3780291991636366,0.01924497600000019,20.476214870219994,20.327872933874293,-0.1483419363457017,20.507412946321057,20.28437160547809,-0.22304134084296834,20.327450253060704,20.37691588887973,0.04946563581902552,0.0018910456792086772,0.0012824084557667488,-0.0006086372234419284,5.055501934694484e-06,-0.0003132797320334935,-0.000318335233968188,more compact; lower global RMSD,MOUSE
RAT_BALO,Balovaptan,RAT_APO,3.493391409099818,3.0977106962500747,-0.39568071284974327,3.915569739110436,3.4946192945922165,-0.4209504445182195,3.6535172,3.7526622,0.09914500000000004,1.5702126981454545,1.54874244,-0.021470258145454446,20.6734816207224,20.690317704953564,0.01683608423116567,20.674846526411446,20.73123298725091,0.056386460839462416,20.665637772128797,20.600507164611184,-0.06513060751761302,0.003580574390408447,0.0031757201492629275,-0.0004048542411455194,0.00021306471889067033,0.0003797592492933733,0.00016669453040270296,similar compactness; lower global RMSD,RAT
RAT_UMF,UMF-504,RAT_APO,3.493391409099818,3.778886769260615,0.28549536016079724,3.915569739110436,4.058137884264629,0.14256814515419292,3.6535172,3.9296234,0.2761062000000001,1.5702126981454545,1.735317512690909,0.16510481454545456,20.6734816207224,20.66767383262027,-0.005807788102128342,20.674846526411446,20.604016356075274,-0.07083017033617267,20.665637772128797,20.56547583252442,-0.10016193960437647,0.003580574390408447,0.0026510217408158014,-0.0009295526495926455,0.00021306471889067033,-0.00035744481802505037,-0.0005705095369157207,similar compactness; similar global RMSD; globally more flexible,RAT
