Run,Ligand,MatchedContactResidues,Mean_BindingSite_Delta_RMSF_A,Weighted_BindingSite_Delta_RMSF_A,MeanAbs_BindingSite_Delta_RMSF_A,RigidifiedResidues_N,MoreFlexibleResidues_N,BindingSiteCall,species
HUMAN_BALO,Balovaptan,26,-0.0035101923076922624,-0.056950595308183666,0.31843496153846157,13,13,binding site similar to apo,HUMAN
HUMAN_UMF,UMF-504,23,-0.5805186295652174,-0.5581662246374043,0.6067841686956522,22,1,binding site rigidified/stabilized,HUMAN
MOUSE_BALO,Balovaptan,29,13.918266917931033,13.413372568168478,13.918266917931033,0,29,binding site loosened/more flexible,MOUSE
MOUSE_UMF,UMF-504,29,0.13797391655172417,0.11570516429365046,0.1830470131034483,6,23,binding site loosened/more flexible,MOUSE
RAT_BALO,Balovaptan,34,-0.016247752058823506,-0.030876012669356842,0.26979038558823526,19,15,binding site similar to apo,RAT
RAT_UMF,UMF-504,32,0.09371061812500003,0.10784120689473423,0.34571797687500005,10,22,binding site loosened/more flexible,RAT
