Run,family,state,is_apo,ligand_display,protein_rmsd_mean_A,protein_rmsd_last_half_mean_A,protein_rmsd_final_A,protein_rmsd_slope_A_per_ns,protein_rmsf_mean_A,protein_rmsf_std_A,rg_mean_A,rg_last_half_mean_A,rg_final_A,rg_slope_A_per_ns,ligand_rmsd_mean_A,ligand_rmsd_last_half_mean_A,ligand_rmsd_final_A,ligand_rmsd_slope_A_per_ns,ligand_rmsf_mean_A,unique_contact_residues,interaction_rows,used_framewise,framewise_file_size_mb,has_protein_rmsd,has_protein_rmsf,has_rg,has_ligand_rmsd,has_residue_contacts,has_interaction_types,has_ligand_visual,protein_rmsd_std_A,rg_std_A,ligand_rmsd_std_A,bound_complex_rmsd_mean_A,has_ligand_rmsf,interaction_frame_count,interaction_load_first_half,interaction_load_last_half,interaction_load_ratio_last_over_first
MOUSE_APO,MOUSE,APO,True,APO,3.7453565038351235,3.9182639694412225,3.5791082,0.0018910456792086772,1.3587842231636365,1.306096275102403,20.476214870219994,20.507412946321057,20.327450253060704,5.055501934694484e-06,,,,,,0,,False,,True,True,True,False,False,False,False,0.4606247464190064,0.13010203822045516,,,False,,,,
MOUSE_BALO,MOUSE,BALO,False,Balovaptan,2.6260421939741208,2.8388192193512256,2.9260232,0.0017709389837867982,18.354529616,6.391156115676558,20.331132064005498,20.319338783487463,20.33370084234545,-0.00019090321952947327,1.4673164026249474,1.4932834260269587,1.404131,0.00016458986913679582,,29,,False,67.35069847106934,True,True,True,True,True,True,True,0.30478187397455364,0.10781606228221603,0.1314424907681634,,False,,,,
MOUSE_UMF,MOUSE,UMF,False,UMF-504,2.838825716756465,2.9946067336426543,3.2097318,0.0012824084557667488,1.3780291991636366,0.972824303634514,20.327872933874293,20.28437160547809,20.37691588887973,-0.0003132797320334935,1.710755519888802,1.7261146905603775,1.7722023,2.1214929546024816e-05,,29,,False,71.001708984375,True,True,True,True,True,True,True,0.2594727379346236,0.1385839784749154,0.12603802134657643,,False,,,,
