Run,Ligand,OverallCall,ProteinStateCall,BindingSiteCall,PossibleDissociation,FlagReasons,LigandRMSDMean_A,LigandRMSDFinal_A,InteractionLoadRatio_LastOverFirst
MOUSE_BALO,Balovaptan,binding-site flexibility increaser,similar compactness; lower global RMSD; globally more flexible,binding site loosened/more flexible,False,,1.4673164026249474,1.404131,
MOUSE_UMF,UMF-504,binding-site flexibility increaser,more compact; lower global RMSD,binding site loosened/more flexible,False,,1.710755519888802,1.7722023,
